CPFA BASELINE RUN (7x7)
Params file: /home/sara/Documents/RL-FL-Foraging/controllers/cpfa_baseline/cpfa_params.yaml
Results file: /home/sara/Documents/RL-FL-Foraging/controllers/cpfa_baseline/cpfa_baseline_7x7_results_20260811_135828.txt
RateOfLayingPheromone=9.0
RateOfSiteFidelity=2.29
RateOfPheromoneDecay=0.1
ProbabilityOfReturningToNest=0.08
ProbabilityOfSwitchingToSearching=0.55
UninformedSearchVariationRad=0.13
UninformedSearchVariationDeg=7.448451336700702
RateOfInformedSearchDecay=1.26

======================================================================
R15[SITE      ]: carry=0 | base=1.16 | wall=2.42 | search=  0 | target=site(-0.45,1.16)
R16[RTB       ]: carry=1 | base=0.69 | wall=2.82 | search=  0 | target=none

======================================================================
Step 5000 (2.7 min) | Pickups: 41 | Deposits: 36 | Rate: 13.50 tags/min | phero_entries=16 max_w=0.839
======================================================================
R1[WALL_ESC  ]: carry=0 | base=3.36 | wall=0.34 | search=2610 | target=site(2.03,1.04)
R2[RTB       ]: carry=1 | base=3.89 | wall=0.63 | search=  0 | target=none
R3[SITE      ]: carry=0 | base=2.28 | wall=1.23 | search=  0 | target=site(-0.11,2.46)
R4[SITE      ]: carry=0 | base=1.01 | wall=2.53 | search=  0 | target=site(-0.30,1.17)
R5[PHERO     ]: carry=0 | base=1.48 | wall=2.03 | search=  0 | target=phero(-0.12,2.17)
R6[SURVEY    ]: carry=1 | base=2.45 | wall=1.64 | search=  0 | target=none
R7[RTB       ]: carry=1 | base=0.38 | wall=3.12 | search=  0 | target=none
R8[BASE_ESC  ]: carry=0 | base=0.25 | wall=3.27 | search=  0 | target=phero(-0.30,1.17)
R9[SITE      ]: carry=0 | base=0.25 | wall=3.26 | search=  0 | target=site(1.59,1.30)
R10[SEARCH    ]: carry=0 | base=0.60 | wall=2.99 | search=322 | target=site(0.55,-1.07)
R11[SEARCH    ]: carry=0 | base=1.32 | wall=2.19 | search=367 | target=site(-0.28,1.10)
R12[RTB       ]: carry=1 | base=0.38 | wall=3.23 | search=  0 | target=none
R13[BASE_ESC  ]: carry=0 | base=0.22 | wall=3.28 | search=  0 | target=site(-0.14,2.29)
R14[BASE_ESC  ]: carry=0 | base=0.22 | wall=3.32 | search=  0 | target=site(0.45,-1.06)
R15[RTB       ]: carry=1 | base=0.81 | wall=2.71 | search=  0 | target=none
R16[SITE      ]: carry=0 | base=0.75 | wall=2.76 | search=  0 | target=site(-0.34,1.24)

======================================================================
Step 5500 (2.9 min) | Pickups: 43 | Deposits: 39 | Rate: 13.30 tags/min | phero_entries=15 max_w=0.404
======================================================================
R1[WALL_ESC  ]: carry=0 | base=3.36 | wall=0.33 | search=3110 | target=site(2.03,1.04)
R2[RTB       ]: carry=1 | base=1.97 | wall=2.04 | search=  0 | target=none
R3[WALL_ESC  ]: carry=0 | base=3.15 | wall=0.35 | search=464 | target=site(-0.11,2.46)
R4[BASE_ESC  ]: carry=0 | base=0.22 | wall=3.34 | search=460 | target=site(-0.30,1.17)
R5[SURVEY    ]: carry=1 | base=2.45 | wall=1.05 | search=  0 | target=none
R6[RTB       ]: carry=1 | base=1.08 | wall=2.66 | search=  0 | target=none
R7[SITE      ]: carry=0 | base=1.37 | wall=2.14 | search=  0 | target=site(-0.19,2.20)
R8[GIVE_UP   ]: carry=0 | base=0.96 | wall=2.56 | search=156 | target=none
R9[SEARCH    ]: carry=0 | base=2.06 | wall=1.91 | search= 30 | target=site(1.59,1.30)
R10[SEARCH    ]: carry=0 | base=0.30 | wall=3.27 | search=822 | target=site(0.55,-1.07)
R11[SEARCH    ]: carry=0 | base=2.92 | wall=0.70 | search=867 | target=site(-0.28,1.10)
R12[SITE      ]: carry=0 | base=1.57 | wall=2.36 | search=  0 | target=site(2.48,2.58)
R13[SITE      ]: carry=0 | base=1.89 | wall=1.61 | search=  0 | target=site(-0.14,2.29)
R14[SEARCH    ]: carry=0 | base=0.99 | wall=2.58 | search=208 | target=site(0.45,-1.06)
R15[SITE      ]: carry=0 | base=0.90 | wall=2.67 | search=  0 | target=site(-0.46,1.17)
R16[SURVEY    ]: carry=1 | base=1.37 | wall=2.16 | search=  0 | target=none

======================================================================
Step 6000 (3.2 min) | Pickups: 46 | Deposits: 42 | Rate: 13.12 tags/min | phero_entries=15 max_w=0.858
======================================================================
R1[WALL_ESC  ]: carry=0 | base=3.36 | wall=0.33 | search=3610 | target=site(2.03,1.04)
R2[BASE_ESC  ]: carry=0 | base=0.22 | wall=3.34 | search=  0 | target=site(2.92,2.80)
R3[SEARCH    ]: carry=0 | base=3.13 | wall=0.37 | search=964 | target=site(-0.11,2.46)
R4[PHERO     ]: carry=0 | base=1.61 | wall=1.90 | search=  0 | target=phero(-0.14,2.29)
R5[RTB       ]: carry=1 | base=1.28 | wall=2.22 | search=  0 | target=none
