CPFA BASELINE RUN (7x7)
Params file: /home/sara/Documents/RL-FL-Foraging/controllers/cpfa_baseline/cpfa_params.yaml
Results file: /home/sara/Documents/RL-FL-Foraging/controllers/cpfa_baseline/cpfa_baseline_7x7_results_20260811_132421_2.txt
RateOfLayingPheromone=9.0
RateOfSiteFidelity=2.29
RateOfPheromoneDecay=0.1
ProbabilityOfReturningToNest=0.08
ProbabilityOfSwitchingToSearching=0.55
UninformedSearchVariationRad=0.13
UninformedSearchVariationDeg=7.448451336700702
RateOfInformedSearchDecay=1.26

======================================================================
R10[SEARCH    ]: carry=0 | base=1.73 | wall=1.79 | search=183 | target=phero(0.25,1.63)
R11[SITE      ]: carry=0 | base=0.77 | wall=2.74 | search=  0 | target=site(-2.51,-0.05)
R12[BASE_ESC  ]: carry=0 | base=0.22 | wall=3.29 | search=  0 | target=site(0.92,0.57)
R13[SITE      ]: carry=0 | base=0.71 | wall=2.83 | search=  0 | target=site(1.24,2.66)
R14[WALL_ESC  ]: carry=0 | base=3.20 | wall=0.34 | search=1418 | target=phero(0.16,1.44)
R15[SURVEY    ]: carry=1 | base=3.24 | wall=1.20 | search=  0 | target=none
R16[SEARCH    ]: carry=0 | base=1.64 | wall=1.88 | search=333 | target=phero(0.22,1.49)

======================================================================
Step 6500 (3.5 min) | Pickups: 50 | Deposits: 43 | Rate: 12.40 tags/min | phero_entries=9 max_w=0.969
======================================================================
R1[RTB       ]: carry=1 | base=1.15 | wall=2.36 | search=  0 | target=none
R2[SEARCH    ]: carry=0 | base=0.97 | wall=2.55 | search=1075 | target=site(-0.18,-1.12)
R3[SITE      ]: carry=0 | base=2.57 | wall=1.67 | search=  0 | target=site(-2.12,2.20)
R4[RTB       ]: carry=1 | base=0.54 | wall=3.05 | search=  0 | target=none
R5[RTB       ]: carry=1 | base=1.75 | wall=2.21 | search=  0 | target=none
R6[SITE      ]: carry=0 | base=0.95 | wall=2.76 | search=  0 | target=site(-2.21,2.28)
R7[SITE      ]: carry=0 | base=1.15 | wall=2.41 | search=  0 | target=site(-1.54,0.46)
R8[BASE_ESC  ]: carry=0 | base=0.23 | wall=3.27 | search=  0 | target=site(0.21,1.64)
R9[RTB       ]: carry=1 | base=0.29 | wall=3.22 | search=  0 | target=none
R10[RTB       ]: carry=1 | base=1.01 | wall=2.51 | search=  0 | target=none
R11[SEARCH    ]: carry=0 | base=2.49 | wall=1.01 | search= 60 | target=site(-2.51,-0.05)
R12[SEARCH    ]: carry=0 | base=0.82 | wall=2.86 | search=229 | target=site(0.92,0.57)
R13[SITE      ]: carry=0 | base=2.62 | wall=1.12 | search=  0 | target=site(1.24,2.66)
R14[WALL_ESC  ]: carry=0 | base=3.21 | wall=0.34 | search=1918 | target=phero(0.16,1.44)
R15[RTB       ]: carry=1 | base=2.09 | wall=2.00 | search=  0 | target=none
R16[RTB       ]: carry=1 | base=1.30 | wall=2.22 | search=  0 | target=none

======================================================================
Step 7000 (3.7 min) | Pickups: 52 | Deposits: 50 | Rate: 13.39 tags/min | phero_entries=14 max_w=0.959
======================================================================
R1[SITE      ]: carry=0 | base=0.68 | wall=2.83 | search=  0 | target=site(0.17,1.86)
R2[RTB       ]: carry=1 | base=0.96 | wall=2.54 | search=  0 | target=none
R3[RTB       ]: carry=1 | base=2.26 | wall=1.84 | search=  0 | target=none
R4[SEARCH    ]: carry=0 | base=1.16 | wall=2.62 | search= 62 | target=site(0.92,0.75)
R5[BASE_ESC  ]: carry=0 | base=0.24 | wall=3.29 | search=  0 | target=site(-1.81,-1.89)
R6[SITE      ]: carry=0 | base=2.76 | wall=1.53 | search=  0 | target=site(-2.21,2.28)
R7[SEARCH    ]: carry=0 | base=0.71 | wall=2.84 | search=393 | target=site(-1.54,0.46)
R8[SEARCH    ]: carry=0 | base=1.66 | wall=1.85 | search= 30 | target=site(0.21,1.64)
R9[SEARCH    ]: carry=0 | base=1.05 | wall=2.61 | search=143 | target=site(1.01,0.49)
R10[SITE      ]: carry=0 | base=0.83 | wall=2.70 | search=  0 | target=site(0.25,1.78)
R11[GIVE_UP   ]: carry=0 | base=1.34 | wall=2.17 | search=312 | target=none
R12[SEARCH    ]: carry=0 | base=0.54 | wall=3.05 | search=729 | target=site(0.92,0.57)
R13[SEARCH    ]: carry=0 | base=2.53 | wall=1.60 | search=432 | target=site(1.24,2.66)
R14[GIVE_UP   ]: carry=0 | base=2.49 | wall=1.03 | search=2184 | target=none
